NSA Employees,Industry ID,Industry,Month of Year ID,Month of Year,Date,NSA Employees Growth
7800400,"60540000","Professional, Scientific, and Technical Services","2008-01","January, 2008","2008-01-01",3.507119066891363
7873900,"60540000","Professional, Scientific, and Technical Services","2008-02","February, 2008","2008-02-01",3.3700047261460906
7863900,"60540000","Professional, Scientific, and Technical Services","2008-03","March, 2008","2008-03-01",3.1682934508816123
7887700,"60540000","Professional, Scientific, and Technical Services","2008-04","April, 2008","2008-04-01",3.096408218748366
7770800,"60540000","Professional, Scientific, and Technical Services","2008-05","May, 2008","2008-05-01",2.8196408960398003
7811900,"60540000","Professional, Scientific, and Technical Services","2008-06","June, 2008","2008-06-01",2.2714180980310013
7811700,"60540000","Professional, Scientific, and Technical Services","2008-07","July, 2008","2008-07-01",2.2125978070290215
7806200,"60540000","Professional, Scientific, and Technical Services","2008-08","August, 2008","2008-08-01",1.8275263823847852
7738100,"60540000","Professional, Scientific, and Technical Services","2008-09","September, 2008","2008-09-01",1.7595307917888565
7775300,"60540000","Professional, Scientific, and Technical Services","2008-10","October, 2008","2008-10-01",1.0619215971716751
7773200,"60540000","Professional, Scientific, and Technical Services","2008-11","November, 2008","2008-11-01",0.49385908209437623
7826400,"60540000","Professional, Scientific, and Technical Services","2008-12","December, 2008","2008-12-01",-0.21419828641370867
7702500,"60540000","Professional, Scientific, and Technical Services","2009-01","January, 2009","2009-01-01",-1.2550638428798524
7700000,"60540000","Professional, Scientific, and Technical Services","2009-02","February, 2009","2009-02-01",-2.208562465868248
7628900,"60540000","Professional, Scientific, and Technical Services","2009-03","March, 2009","2009-03-01",-2.9883391192665214
7576100,"60540000","Professional, Scientific, and Technical Services","2009-04","April, 2009","2009-04-01",-3.9504545051155597
7407200,"60540000","Professional, Scientific, and Technical Services","2009-05","May, 2009","2009-05-01",-4.679054923559994
7412700,"60540000","Professional, Scientific, and Technical Services","2009-06","June, 2009","2009-06-01",-5.110152459708905
7374200,"60540000","Professional, Scientific, and Technical Services","2009-07","July, 2009","2009-07-01",-5.60057349872627
7345400,"60540000","Professional, Scientific, and Technical Services","2009-08","August, 2009","2009-08-01",-5.903000179344624
7283400,"60540000","Professional, Scientific, and Technical Services","2009-09","September, 2009","2009-09-01",-5.876119460849562
7348600,"60540000","Professional, Scientific, and Technical Services","2009-10","October, 2009","2009-10-01",-5.4878911424639565
7397700,"60540000","Professional, Scientific, and Technical Services","2009-11","November, 2009","2009-11-01",-4.830700355066124
7440800,"60540000","Professional, Scientific, and Technical Services","2009-12","December, 2009","2009-12-01",-4.926914034549729
7393300,"60540000","Professional, Scientific, and Technical Services","2010-01","January, 2010","2010-01-01",-4.014281077572217
7443800,"60540000","Professional, Scientific, and Technical Services","2010-02","February, 2010","2010-02-01",-3.327272727272727
7459200,"60540000","Professional, Scientific, and Technical Services","2010-03","March, 2010","2010-03-01",-2.224436026163667
7501600,"60540000","Professional, Scientific, and Technical Services","2010-04","April, 2010","2010-04-01",-0.9833555523290347
7379000,"60540000","Professional, Scientific, and Technical Services","2010-05","May, 2010","2010-05-01",-0.3807106598984772
7427800,"60540000","Professional, Scientific, and Technical Services","2010-06","June, 2010","2010-06-01",0.20370445316821134
7449900,"60540000","Professional, Scientific, and Technical Services","2010-07","July, 2010","2010-07-01",1.0265520327628759
7450800,"60540000","Professional, Scientific, and Technical Services","2010-08","August, 2010","2010-08-01",1.4349116453835054
7400500,"60540000","Professional, Scientific, and Technical Services","2010-09","September, 2010","2010-09-01",1.6077656039761652
7494400,"60540000","Professional, Scientific, and Technical Services","2010-10","October, 2010","2010-10-01",1.9840513839370764
7524100,"60540000","Professional, Scientific, and Technical Services","2010-11","November, 2010","2010-11-01",1.708639171634427
7597200,"60540000","Professional, Scientific, and Technical Services","2010-12","December, 2010","2010-12-01",2.101924524244705
7567800,"60540000","Professional, Scientific, and Technical Services","2011-01","January, 2011","2011-01-01",2.3602450867677494
7638300,"60540000","Professional, Scientific, and Technical Services","2011-02","February, 2011","2011-02-01",2.6129127596120263
7648600,"60540000","Professional, Scientific, and Technical Services","2011-03","March, 2011","2011-03-01",2.5391462891462893
7696700,"60540000","Professional, Scientific, and Technical Services","2011-04","April, 2011","2011-04-01",2.6007785005865416
7570300,"60540000","Professional, Scientific, and Technical Services","2011-05","May, 2011","2011-05-01",2.5924922076162082
7607500,"60540000","Professional, Scientific, and Technical Services","2011-06","June, 2011","2011-06-01",2.4192896954683754
7656300,"60540000","Professional, Scientific, and Technical Services","2011-07","July, 2011","2011-07-01",2.770506986670962
7673500,"60540000","Professional, Scientific, and Technical Services","2011-08","August, 2011","2011-08-01",2.9889407848821605
7633100,"60540000","Professional, Scientific, and Technical Services","2011-09","September, 2011","2011-09-01",3.1430308762921424
7705700,"60540000","Professional, Scientific, and Technical Services","2011-10","October, 2011","2011-10-01",2.819438514090521
7766000,"60540000","Professional, Scientific, and Technical Services","2011-11","November, 2011","2011-11-01",3.2150024587658326
7826100,"60540000","Professional, Scientific, and Technical Services","2011-12","December, 2011","2011-12-01",3.0129521402622017
7786800,"60540000","Professional, Scientific, and Technical Services","2012-01","January, 2012","2012-01-01",2.8938396892095457
7875900,"60540000","Professional, Scientific, and Technical Services","2012-02","February, 2012","2012-02-01",3.1106398020501946
7887300,"60540000","Professional, Scientific, and Technical Services","2012-03","March, 2012","2012-03-01",3.1208325706665274
7925300,"60540000","Professional, Scientific, and Technical Services","2012-04","April, 2012","2012-04-01",2.9701040705757014
7838700,"60540000","Professional, Scientific, and Technical Services","2012-05","May, 2012","2012-05-01",3.5454341307477906
7895400,"60540000","Professional, Scientific, and Technical Services","2012-06","June, 2012","2012-06-01",3.7844232665133095
7913900,"60540000","Professional, Scientific, and Technical Services","2012-07","July, 2012","2012-07-01",3.3645494560035525
7942800,"60540000","Professional, Scientific, and Technical Services","2012-08","August, 2012","2012-08-01",3.509480680263244
7879700,"60540000","Professional, Scientific, and Technical Services","2012-09","September, 2012","2012-09-01",3.2306664395854896
7987300,"60540000","Professional, Scientific, and Technical Services","2012-10","October, 2012","2012-10-01",3.654437624096448
8033100,"60540000","Professional, Scientific, and Technical Services","2012-11","November, 2012","2012-11-01",3.4393510172547
8075700,"60540000","Professional, Scientific, and Technical Services","2012-12","December, 2012","2012-12-01",3.189328017786637
8031000,"60540000","Professional, Scientific, and Technical Services","2013-01","January, 2013","2013-01-01",3.136076437047311
8126300,"60540000","Professional, Scientific, and Technical Services","2013-02","February, 2013","2013-02-01",3.1793191889180923
8141100,"60540000","Professional, Scientific, and Technical Services","2013-03","March, 2013","2013-03-01",3.2178311969875626
8174000,"60540000","Professional, Scientific, and Technical Services","2013-04","April, 2013","2013-04-01",3.138051556407959
8075200,"60540000","Professional, Scientific, and Technical Services","2013-05","May, 2013","2013-05-01",3.0170819140928984
8116400,"60540000","Professional, Scientific, and Technical Services","2013-06","June, 2013","2013-06-01",2.79909820908377
8146000,"60540000","Professional, Scientific, and Technical Services","2013-07","July, 2013","2013-07-01",2.932814415142976
8168900,"60540000","Professional, Scientific, and Technical Services","2013-08","August, 2013","2013-08-01",2.846603212972755
8110900,"60540000","Professional, Scientific, and Technical Services","2013-09","September, 2013","2013-09-01",2.9341218574311205
8198400,"60540000","Professional, Scientific, and Technical Services","2013-10","October, 2013","2013-10-01",2.6429456762610646
8243700,"60540000","Professional, Scientific, and Technical Services","2013-11","November, 2013","2013-11-01",2.621652911080405
8290500,"60540000","Professional, Scientific, and Technical Services","2013-12","December, 2013","2013-12-01",2.6598313458895206
8237300,"60540000","Professional, Scientific, and Technical Services","2014-01","January, 2014","2014-01-01",2.5687959158261737
8320900,"60540000","Professional, Scientific, and Technical Services","2014-02","February, 2014","2014-02-01",2.3946937720733916
8329700,"60540000","Professional, Scientific, and Technical Services","2014-03","March, 2014","2014-03-01",2.316640257459066
8371800,"60540000","Professional, Scientific, and Technical Services","2014-04","April, 2014","2014-04-01",2.419867873746024
8285600,"60540000","Professional, Scientific, and Technical Services","2014-05","May, 2014","2014-05-01",2.605508222706558
8338400,"60540000","Professional, Scientific, and Technical Services","2014-06","June, 2014","2014-06-01",2.7352027992706125
8382800,"60540000","Professional, Scientific, and Technical Services","2014-07","July, 2014","2014-07-01",2.9069481954333414
8404600,"60540000","Professional, Scientific, and Technical Services","2014-08","August, 2014","2014-08-01",2.885333398621601
8335700,"60540000","Professional, Scientific, and Technical Services","2014-09","September, 2014","2014-09-01",2.771578986302383
8437200,"60540000","Professional, Scientific, and Technical Services","2014-10","October, 2014","2014-10-01",2.9127634660421546
8484700,"60540000","Professional, Scientific, and Technical Services","2014-11","November, 2014","2014-11-01",2.9234445697926903
8543300,"60540000","Professional, Scientific, and Technical Services","2014-12","December, 2014","2014-12-01",3.049273264579941
8496000,"60540000","Professional, Scientific, and Technical Services","2015-01","January, 2015","2015-01-01",3.140592184332245
8567200,"60540000","Professional, Scientific, and Technical Services","2015-02","February, 2015","2015-02-01",2.960016344385824
8568600,"60540000","Professional, Scientific, and Technical Services","2015-03","March, 2015","2015-03-01",2.8680504700049223
8628400,"60540000","Professional, Scientific, and Technical Services","2015-04","April, 2015","2015-04-01",3.0650517212546884
8539200,"60540000","Professional, Scientific, and Technical Services","2015-05","May, 2015","2015-05-01",3.0607318721637538
8594500,"60540000","Professional, Scientific, and Technical Services","2015-06","June, 2015","2015-06-01",3.0713326297611054
8665200,"60540000","Professional, Scientific, and Technical Services","2015-07","July, 2015","2015-07-01",3.368802786658396
8667800,"60540000","Professional, Scientific, and Technical Services","2015-08","August, 2015","2015-08-01",3.131618399447921
8588600,"60540000","Professional, Scientific, and Technical Services","2015-09","September, 2015","2015-09-01",3.0339383615053324
8711200,"60540000","Professional, Scientific, and Technical Services","2015-10","October, 2015","2015-10-01",3.2475228748874034
8755000,"60540000","Professional, Scientific, and Technical Services","2015-11","November, 2015","2015-11-01",3.1857343217792025
8793800,"60540000","Professional, Scientific, and Technical Services","2015-12","December, 2015","2015-12-01",2.9321222478433393
8753800,"60540000","Professional, Scientific, and Technical Services","2016-01","January, 2016","2016-01-01",3.0343691148775895
8829800,"60540000","Professional, Scientific, and Technical Services","2016-02","February, 2016","2016-02-01",3.0651788215519655
8821000,"60540000","Professional, Scientific, and Technical Services","2016-03","March, 2016","2016-03-01",2.945638727446724
8880300,"60540000","Professional, Scientific, and Technical Services","2016-04","April, 2016","2016-04-01",2.919428862825089
8770300,"60540000","Professional, Scientific, and Technical Services","2016-05","May, 2016","2016-05-01",2.7063425145212667
8806000,"60540000","Professional, Scientific, and Technical Services","2016-06","June, 2016","2016-06-01",2.4608761417185407
8887300,"60540000","Professional, Scientific, and Technical Services","2016-07","July, 2016","2016-07-01",2.563126067488344
8884800,"60540000","Professional, Scientific, and Technical Services","2016-08","August, 2016","2016-08-01",2.503518770622303
8813000,"60540000","Professional, Scientific, and Technical Services","2016-09","September, 2016","2016-09-01",2.612765759262278
8893500,"60540000","Professional, Scientific, and Technical Services","2016-10","October, 2016","2016-10-01",2.092708237671044
8933900,"60540000","Professional, Scientific, and Technical Services","2016-11","November, 2016","2016-11-01",2.0434037692747
8944800,"60540000","Professional, Scientific, and Technical Services","2016-12","December, 2016","2016-12-01",1.7171188792103529
8906000,"60540000","Professional, Scientific, and Technical Services","2017-01","January, 2017","2017-01-01",1.7386734903698964
8985400,"60540000","Professional, Scientific, and Technical Services","2017-02","February, 2017","2017-02-01",1.76221431969014
8993100,"60540000","Professional, Scientific, and Technical Services","2017-03","March, 2017","2017-03-01",1.9510259607754223
9037500,"60540000","Professional, Scientific, and Technical Services","2017-04","April, 2017","2017-04-01",1.7702104658626396
8949200,"60540000","Professional, Scientific, and Technical Services","2017-05","May, 2017","2017-05-01",2.0398390020865875
9027100,"60540000","Professional, Scientific, and Technical Services","2017-06","June, 2017","2017-06-01",2.5107880990233933
9068700,"60540000","Professional, Scientific, and Technical Services","2017-07","July, 2017","2017-07-01",2.041114849279309
9069500,"60540000","Professional, Scientific, and Technical Services","2017-08","August, 2017","2017-08-01",2.078831262380695
8978200,"60540000","Professional, Scientific, and Technical Services","2017-09","September, 2017","2017-09-01",1.8745035742652898
9084900,"60540000","Professional, Scientific, and Technical Services","2017-10","October, 2017","2017-10-01",2.152133580705009
9137500,"60540000","Professional, Scientific, and Technical Services","2017-11","November, 2017","2017-11-01",2.2789599167217003
9165600,"60540000","Professional, Scientific, and Technical Services","2017-12","December, 2017","2017-12-01",2.4684733029246044
9112800,"60540000","Professional, Scientific, and Technical Services","2018-01","January, 2018","2018-01-01",2.32203009207276
9207800,"60540000","Professional, Scientific, and Technical Services","2018-02","February, 2018","2018-02-01",2.475126316023772
9208600,"60540000","Professional, Scientific, and Technical Services","2018-03","March, 2018","2018-03-01",2.396281593666255
9245900,"60540000","Professional, Scientific, and Technical Services","2018-04","April, 2018","2018-04-01",2.305947441217151
9165900,"60540000","Professional, Scientific, and Technical Services","2018-05","May, 2018","2018-05-01",2.4214454923345103
9244700,"60540000","Professional, Scientific, and Technical Services","2018-06","June, 2018","2018-06-01",2.4105194359207274
9307100,"60540000","Professional, Scientific, and Technical Services","2018-07","July, 2018","2018-07-01",2.628822212665542
9309900,"60540000","Professional, Scientific, and Technical Services","2018-08","August, 2018","2018-08-01",2.6506422625282537
9217500,"60540000","Professional, Scientific, and Technical Services","2018-09","September, 2018","2018-09-01",2.665344946648549
9357000,"60540000","Professional, Scientific, and Technical Services","2018-10","October, 2018","2018-10-01",2.9950797477132385
9401600,"60540000","Professional, Scientific, and Technical Services","2018-11","November, 2018","2018-11-01",2.8902872777017783
9421900,"60540000","Professional, Scientific, and Technical Services","2018-12","December, 2018","2018-12-01",2.796325390590905
9378900,"60540000","Professional, Scientific, and Technical Services","2019-01","January, 2019","2019-01-01",2.9200684751119304
9467900,"60540000","Professional, Scientific, and Technical Services","2019-02","February, 2019","2019-02-01",2.8247789917244073
9454100,"60540000","Professional, Scientific, and Technical Services","2019-03","March, 2019","2019-03-01",2.665986143387703
9515000,"60540000","Professional, Scientific, and Technical Services","2019-04","April, 2019","2019-04-01",2.9104792394466736
9429700,"60540000","Professional, Scientific, and Technical Services","2019-05","May, 2019","2019-05-01",2.8780588921982564
9499700,"60540000","Professional, Scientific, and Technical Services","2019-06","June, 2019","2019-06-01",2.7583372094281047
9580800,"60540000","Professional, Scientific, and Technical Services","2019-07","July, 2019","2019-07-01",2.940765652029096
9586300,"60540000","Professional, Scientific, and Technical Services","2019-08","August, 2019","2019-08-01",2.9688825873532476
9477200,"60540000","Professional, Scientific, and Technical Services","2019-09","September, 2019","2019-09-01",2.8174667751559532
9608000,"60540000","Professional, Scientific, and Technical Services","2019-10","October, 2019","2019-10-01",2.6824837020412526
9664800,"60540000","Professional, Scientific, and Technical Services","2019-11","November, 2019","2019-11-01",2.799523485364193
9679700,"60540000","Professional, Scientific, and Technical Services","2019-12","December, 2019","2019-12-01",2.736178477801717
9639000,"60540000","Professional, Scientific, and Technical Services","2020-01","January, 2020","2020-01-01",2.7732463295269167
9724500,"60540000","Professional, Scientific, and Technical Services","2020-02","February, 2020","2020-02-01",2.7102102895045364
9661300,"60540000","Professional, Scientific, and Technical Services","2020-03","March, 2020","2020-03-01",2.191641721581113
9197200,"60540000","Professional, Scientific, and Technical Services","2020-04","April, 2020","2020-04-01",-3.3399894902785077
9215200,"60540000","Professional, Scientific, and Technical Services","2020-05","May, 2020","2020-05-01",-2.274727721984793
9282400,"60540000","Professional, Scientific, and Technical Services","2020-06","June, 2020","2020-06-01",-2.2874406560207166
9363900,"60540000","Professional, Scientific, and Technical Services","2020-07","July, 2020","2020-07-01",-2.2639028056112225
9355900,"60540000","Professional, Scientific, and Technical Services","2020-08","August, 2020","2020-08-01",-2.4034298947456265
9294400,"60540000","Professional, Scientific, and Technical Services","2020-09","September, 2020","2020-09-01",-1.9288397416958596
9473900,"60540000","Professional, Scientific, and Technical Services","2020-10","October, 2020","2020-10-01",-1.3957119067443797
9510000,"60540000","Professional, Scientific, and Technical Services","2020-11","November, 2020","2020-11-01",-1.6016886019369256
9568700,"60540000","Professional, Scientific, and Technical Services","2020-12","December, 2020","2020-12-01",-1.1467297540213024
9559600,"60540000","Professional, Scientific, and Technical Services","2021-01","January, 2021","2021-01-01",-0.8237369021682748
9651200,"60540000","Professional, Scientific, and Technical Services","2021-02","February, 2021","2021-02-01",-0.7537662604761171
9686700,"60540000","Professional, Scientific, and Technical Services","2021-03","March, 2021","2021-03-01",0.26290457805885337
9780400,"60540000","Professional, Scientific, and Technical Services","2021-04","April, 2021","2021-04-01",6.341060322706911
9780500,"60540000","Professional, Scientific, and Technical Services","2021-05","May, 2021","2021-05-01",6.134430072054866
9819800,"60540000","Professional, Scientific, and Technical Services","2021-06","June, 2021","2021-06-01",5.789451004050677
9948400,"60540000","Professional, Scientific, and Technical Services","2021-07","July, 2021","2021-07-01",6.242057262465426
9947000,"60540000","Professional, Scientific, and Technical Services","2021-08","August, 2021","2021-08-01",6.317938413193813
9871800,"60540000","Professional, Scientific, and Technical Services","2021-09","September, 2021","2021-09-01",6.212342916164572
10107100,"60540000","Professional, Scientific, and Technical Services","2021-10","October, 2021","2021-10-01",6.683625539640486
10178100,"60540000","Professional, Scientific, and Technical Services","2021-11","November, 2021","2021-11-01",7.025236593059938
10227800,"60540000","Professional, Scientific, and Technical Services","2021-12","December, 2021","2021-12-01",6.888083020682015
10201500,"60540000","Professional, Scientific, and Technical Services","2022-01","January, 2022","2022-01-01",6.714716096907821
10330700,"60540000","Professional, Scientific, and Technical Services","2022-02","February, 2022","2022-02-01",7.040575265251989
10332200,"60540000","Professional, Scientific, and Technical Services","2022-03","March, 2022","2022-03-01",6.663776105381605
10465900,"60540000","Professional, Scientific, and Technical Services","2022-04","April, 2022","2022-04-01",7.0089157907652035
10414700,"60540000","Professional, Scientific, and Technical Services","2022-05","May, 2022","2022-05-01",6.48433106691887
10493500,"60540000","Professional, Scientific, and Technical Services","2022-06","June, 2022","2022-06-01",6.860628526039227
10641500,"60540000","Professional, Scientific, and Technical Services","2022-07","July, 2022","2022-07-01",6.966949459209521
10649100,"60540000","Professional, Scientific, and Technical Services","2022-08","August, 2022","2022-08-01",7.058409570724841
10550600,"60540000","Professional, Scientific, and Technical Services","2022-09","September, 2022","2022-09-01",6.87615227212869
10699200,"60540000","Professional, Scientific, and Technical Services","2022-10","October, 2022","2022-10-01",5.858258056217906
10723000,"60540000","Professional, Scientific, and Technical Services","2022-11","November, 2022","2022-11-01",5.353651467366208
10763600,"60540000","Professional, Scientific, and Technical Services","2022-12","December, 2022","2022-12-01",5.2386632511390525
10719100,"60540000","Professional, Scientific, and Technical Services","2023-01","January, 2023","2023-01-01",5.073763662206538
10788700,"60540000","Professional, Scientific, and Technical Services","2023-02","February, 2023","2023-02-01",4.4333878633587265